dateTime,pointDisplayName,point_id,unit,dateTimeUtc,pointName,pointKind,deviceName,value,pointField
03/31/2026 09:18:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:18:45,TVOC,Number,10B342_Rm_354,183,voc_concentration_detection_sensor
03/31/2026 09:18:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:18:45,Light,Number,10B342_Rm_354,394.79998779296875,illuminance_sensor
03/31/2026 09:18:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:18:45,Noise,Number,10B342_Rm_354,54.599998474121094,noise_sensor
03/31/2026 09:19:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:19:45,Carbon Dioxide,Number,10B342_Rm_354,499,co2_concentration_detection_sensor
03/31/2026 09:19:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:19:45,TVOC,Number,10B342_Rm_354,178,voc_concentration_detection_sensor
03/31/2026 09:19:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:19:45,Light,Number,10B342_Rm_354,397.6000061035156,illuminance_sensor
03/31/2026 09:19:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:19:45,Noise,Number,10B342_Rm_354,53.099998474121094,noise_sensor
03/31/2026 09:20:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:20:15,TVOC,Number,10B342_Rm_354,184,voc_concentration_detection_sensor
03/31/2026 09:20:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:20:15,Light,Number,10B342_Rm_354,402.79998779296875,illuminance_sensor
03/31/2026 09:20:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:20:15,Light,Number,10B342_Rm_354,402.79998779296875,illuminance_sensor
03/31/2026 09:20:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:20:15,Noise,Number,10B342_Rm_354,52.400001525878906,noise_sensor
03/31/2026 09:20:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:20:15,Noise,Number,10B342_Rm_354,52.400001525878906,noise_sensor
03/31/2026 09:21:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:21:15,Carbon Dioxide,Number,10B342_Rm_354,498,co2_concentration_detection_sensor
03/31/2026 09:21:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:21:15,TVOC,Number,10B342_Rm_354,177,voc_concentration_detection_sensor
03/31/2026 09:21:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:21:15,Noise,Number,10B342_Rm_354,53.599998474121094,noise_sensor
03/31/2026 09:21:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:21:45,Carbon Dioxide,Number,10B342_Rm_354,499,co2_concentration_detection_sensor
03/31/2026 09:21:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:21:45,TVOC,Number,10B342_Rm_354,187,voc_concentration_detection_sensor
03/31/2026 09:21:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:21:45,Light,Number,10B342_Rm_354,404.3999938964844,illuminance_sensor
03/31/2026 09:21:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:21:45,Noise,Number,10B342_Rm_354,55.29999923706055,noise_sensor
03/31/2026 09:22:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:22:45,Carbon Dioxide,Number,10B342_Rm_354,502,co2_concentration_detection_sensor
03/31/2026 09:22:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:22:45,TVOC,Number,10B342_Rm_354,186,voc_concentration_detection_sensor
03/31/2026 09:23:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:23:15,Carbon Dioxide,Number,10B342_Rm_354,503,co2_concentration_detection_sensor
03/31/2026 09:23:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:23:15,TVOC,Number,10B342_Rm_354,188,voc_concentration_detection_sensor
03/31/2026 09:23:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:23:15,Light,Number,10B342_Rm_354,401.1000061035156,illuminance_sensor
03/31/2026 09:23:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:23:45,Carbon Dioxide,Number,10B342_Rm_354,505,co2_concentration_detection_sensor
03/31/2026 09:23:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:23:45,TVOC,Number,10B342_Rm_354,180,voc_concentration_detection_sensor
03/31/2026 09:23:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:23:45,Light,Number,10B342_Rm_354,399,illuminance_sensor
03/31/2026 09:23:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:23:45,Noise,Number,10B342_Rm_354,55.900001525878906,noise_sensor
03/31/2026 09:24:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:24:15,Carbon Dioxide,Number,10B342_Rm_354,508,co2_concentration_detection_sensor
03/31/2026 09:24:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:24:15,TVOC,Number,10B342_Rm_354,187,voc_concentration_detection_sensor
03/31/2026 09:24:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:24:15,Light,Number,10B342_Rm_354,402,illuminance_sensor
03/31/2026 09:24:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:24:15,Noise,Number,10B342_Rm_354,57.099998474121094,noise_sensor
03/31/2026 09:24:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:24:45,Carbon Dioxide,Number,10B342_Rm_354,509,co2_concentration_detection_sensor
03/31/2026 09:24:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:24:45,TVOC,Number,10B342_Rm_354,193,voc_concentration_detection_sensor
03/31/2026 09:24:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:24:45,Noise,Number,10B342_Rm_354,55.70000076293945,noise_sensor
03/31/2026 09:25:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:25:15,Carbon Dioxide,Number,10B342_Rm_354,513,co2_concentration_detection_sensor
03/31/2026 09:25:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:25:15,TVOC,Number,10B342_Rm_354,195,voc_concentration_detection_sensor
03/31/2026 09:25:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:25:15,Light,Number,10B342_Rm_354,403.3999938964844,illuminance_sensor
03/31/2026 09:25:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:25:15,Noise,Number,10B342_Rm_354,58.70000076293945,noise_sensor
03/31/2026 09:25:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:25:45,Carbon Dioxide,Number,10B342_Rm_354,514,co2_concentration_detection_sensor
03/31/2026 09:25:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:25:45,TVOC,Number,10B342_Rm_354,200,voc_concentration_detection_sensor
03/31/2026 09:25:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:25:45,Noise,Number,10B342_Rm_354,57.29999923706055,noise_sensor
