ts,flow_cfm,Q_Lps,co2_iaq_ppm,co2_fpb_ppm,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 22:27:55,2005.03466796875,946.2709987094482,538.0,511.0,538.0,21.303206234478548,21,20.58637215115694,21
2026-03-31 22:28:25,2015.95947265625,951.426932423462,538.0,512.0,538.0,21.419280719896296,21,20.58637215115694,21
2026-03-31 22:30:55,2006.277099609375,946.8573611540405,531.0,509.0,531.0,19.839032157608077,20,20.916868040920928,21
2026-03-31 22:31:25,2001.247802734375,944.4837973185913,532.0,510.0,532.0,19.99982452172817,20,20.65151537810336,21
2026-03-31 22:31:55,2043.198486328125,964.2823154664185,533.0,510.0,533.0,20.63400364956416,21,20.63400364956416,21
2026-03-31 22:32:25,2028.1075439453125,957.1601836907531,534.0,510.0,534.0,20.694952149163605,21,20.66447789936388,21
2026-03-31 22:32:55,2072.66015625,978.1866754587891,535.0,511.0,535.0,21.367606947030186,21,20.66447789936388,21
2026-03-31 22:33:25,1998.9425048828125,943.3958178760558,535.0,511.0,535.0,20.607631996615655,21,20.620817823089908,21
2026-03-31 22:34:25,1970.390625,929.9208309726562,534.0,509.0,534.0,20.106004645202937,20,20.607631996615655,21
2026-03-31 22:34:55,2000.378662109375,944.0736086169311,533.0,509.0,533.0,20.201571648896806,20,20.40460182275623,20
2026-03-31 22:35:25,2018.599365234375,952.6728229939819,534.0,508.0,534.0,20.597930024259043,21,20.597930024259043,21
2026-03-31 22:35:55,2056.049072265625,970.3471167306275,533.0,508.0,533.0,20.763780095126204,21,20.607631996615655,21
2026-03-31 22:36:25,1840.4669189453125,868.6036692055969,531.0,507.0,531.0,18.19942140449047,18,20.607631996615655,21
2026-03-31 22:36:25,1840.4669189453125,868.6036692055969,531.0,507.0,531.0,18.19942140449047,18,20.602781010437347,21
2026-03-31 22:36:55,1818.740478515625,858.349931047229,531.0,508.0,531.0,17.984579920012155,18,20.399750836577923,20
2026-03-31 22:37:25,1826.944580078125,862.2218358591919,528.0,508.0,528.0,17.489140933356122,17,20.153788147049873,20
2026-03-31 22:37:55,1992.818359375,940.5055430202149,530.0,507.0,530.0,19.49630794618345,19,19.801156295693193,20
2026-03-31 22:38:25,1984.5748291015625,936.6150299286682,532.0,507.0,532.0,19.8332002054111,20,19.664754075797276,20
2026-03-31 22:38:55,2038.927001953125,962.2663993079224,533.0,508.0,533.0,20.590866467947897,21,19.8332002054111,20
2026-03-31 22:39:25,2030.69482421875,958.3812440182373,533.0,508.0,533.0,20.50773074395849,21,19.8332002054111,20
2026-03-31 22:39:55,2007.9642333984373,947.6535996435973,531.0,508.0,531.0,19.855715347333923,20,19.8332002054111,20
2026-03-31 22:40:25,1993.181396484375,940.6768774582397,530.0,507.0,530.0,19.49985964132263,19,19.49985964132263,19
2026-03-31 22:40:55,2029.6312255859373,957.8792813556578,530.0,507.0,530.0,19.856458670735773,20,19.49985964132263,19
2026-03-31 22:41:55,2014.849365234375,950.9030200564819,528.0,507.0,528.0,19.2879329194322,19,19.8332002054111,20
2026-03-31 22:42:25,2027.093505859375,956.6816110018921,528.0,506.0,528.0,19.40514474037824,19,19.8332002054111,20
2026-03-31 22:42:55,2048.5126953125,966.7903428453614,525.0,506.0,525.0,18.963698577461386,19,19.8332002054111,20
2026-03-31 22:43:25,2030.23876953125,958.1660101714111,525.0,506.0,525.0,18.7945313464574,19,19.49985964132263,19
2026-03-31 22:43:55,2013.5025634765625,950.2674004012268,524.0,507.0,524.0,18.427785621943357,18,19.40514474037824,19
2026-03-31 22:44:25,2040.2774658203125,962.9037472863587,525.0,507.0,525.0,18.88746257943051,19,19.2879329194322,19
2026-03-31 22:44:55,2010.3414306640625,948.775511831256,525.0,507.0,525.0,18.610335691905505,19,18.963698577461386,19
2026-03-31 22:45:25,2028.56201171875,957.3746685975342,528.0,506.0,528.0,19.41920258658558,19,18.963698577461386,19
2026-03-31 22:45:55,2008.68798828125,947.9951739149658,527.0,506.0,527.0,19.017643579893686,19,18.963698577461386,19
