ts,flow_cfm,Q_Lps,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 14:40:46,1104.00537109375,521.032519673999,452.0,4.41322931877838,4,4.519491948133031,5
2026-03-31 14:41:15,1109.2052001953125,523.4865657589172,459.0,5.250807810208675,5,4.625754577487682,5
2026-03-31 14:41:45,1122.0457763671875,529.5466429397644,460.0,5.429628537351909,5,4.625754577487682,5
2026-03-31 14:42:16,1135.178466796875,535.7445826996948,482.0,8.12035038282659,8,4.625754577487682,5
2026-03-31 14:42:45,1124.0318603515625,530.483970211676,478.0,7.567637265433328,8,4.938281193848178,5
2026-03-31 14:43:16,1137.289794921875,536.7410186244018,488.0,8.853287623486754,9,5.429628537351909,5
2026-03-31 14:47:46,1156.2371826171875,545.683189931366,465.0,6.2032433598283685,6,7.528265491657561,8
2026-03-31 14:48:16,1129.4178466796875,533.0258727249694,458.0,5.227680468236441,5,5.715461914032405,6
2026-03-31 14:49:16,1138.830078125,537.4679513543945,459.0,5.391047452415807,5,5.391047452415807,5
2026-03-31 14:49:46,1130.6536865234375,533.6091241878357,457.0,5.1144598130486,5,5.309363960326124,5
2026-03-31 14:50:16,1140.470703125,538.2422401395507,457.0,5.158866634952754,5,5.227680468236441,5
2026-03-31 14:51:46,1130.247314453125,533.4173379255005,465.0,6.063807023118798,6,5.309363960326124,5
2026-03-31 14:53:46,1135.6036376953125,535.9452410210266,457.0,5.1368506889170105,5,5.158866634952754,5
2026-03-31 14:54:16,1126.6097412109375,531.7005945096619,456.0,4.97765169632712,5,5.1368506889170105,5
2026-03-31 14:57:16,1132.15673828125,534.3184856321533,459.0,5.359456882009566,5,5.1368506889170105,5
2026-03-31 14:57:46,1126.31396484375,531.5610036073974,461.0,5.568766889790251,6,5.248153785463288,5
2026-03-31 14:59:46,1134.443359375,535.3976506264648,465.0,6.086318916171956,6,5.568766889790251,6
2026-03-31 15:01:46,1129.388916015625,533.0122189718384,464.0,5.940393816254641,6,5.754580353022446,6
